packet_checksum,packet_name,packet_year,question_id,pair_id,question_type,question_style,category,question_text,question_text_stripped,word_count,correct_answer,options_json,source
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,1,1,TOSSUP,MULTIPLE_CHOICE,CHEMISTRY,Materials that exhibit different physical properties on different crystal planes are described as having what property?,Materials that exhibit different physical properties on different crystal planes are described as having what property?,16,"""Z""","[""Piezoelectricity \\textbf{[pee-AY-zoh-electricity]}"", ""Polymorphosity \\textbf{[paw-lee-mor-FAW-sih-tee]}"", ""Heterogeneity \\textbf{[het-ur-oh-juh-NAY-uh-tee]}"", ""Anisotropy \\textbf{[an-EYE-soh-troh-pee]}""]",SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,2,1,BONUS,MULTIPLE_CHOICE,CHEMISTRY,"Although the carbon-carbon bond in ethane rotates freely at room temperature, the bond in ethylene \textbf{[ETH-ul-een]} does not. Which of the following best explains this phenomenon?","Although the carbon-carbon bond in ethane rotates freely at room temperature, the bond in ethylene does not. Which of the following best explains this phenomenon?",25,"""Z""","[""Hydrogen atoms on adjacent carbon atoms repel each other"", ""The two regions of the carbon-carbon pi bond repel each other"", ""Rotation of the carbon-carbon sigma bond forms an energy barrier"", ""Rotation of the carbon-carbon pi bond forms an energy barrier""]",SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,3,2,TOSSUP,SHORT_ANSWER,PHYSICS,"Simple permanent magnets cannot be used to lift maglev trains. Instead, either the strength of the magnets must be constantly altered or the train must be in motion in order to induce repulsive currents. This is an application of which physical law?","Simple permanent magnets cannot be used to lift maglev trains. Instead, either the strength of the magnets must be constantly altered or the train must be in motion in order to induce repulsive currents. This is an application of which physical law?",42,"""Faraday\u2019s law of induction (ACCEPT: Faraday; DO NOT ACCEPT: Faraday effect)""",[],SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,4,2,BONUS,SHORT_ANSWER,PHYSICS,What is the moment of inertia of a solid cylinder with mass $M$ and radius $R$ about an axis parallel to its central axis but located along its surface?,What is the moment of inertia of a solid cylinder with mass and radius about an axis parallel to its central axis but located along its surface?,27,"""$\\frac{3}{2} M R^2$""",[],SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,5,3,TOSSUP,SHORT_ANSWER,BIOLOGY,"Opsin \textbf{[OPP-sin]} is activated when what molecule, derived from vitamin A, undergoes a light-induced cis–trans isomerization?","Opsin is activated when what molecule, derived from vitamin A, undergoes a light-induced cis–trans isomerization?",15,"""Retinal \\textbf{[REH-tin-al]} (DO NOT ACCEPT: Retinol \\textbf{[REH-tin-ol]})""",[],SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,6,3,BONUS,MULTIPLE_CHOICE,BIOLOGY,Gene A and Gene B have a recombination frequency of 50%. Which of the following must be true?,Gene A and Gene B have a recombination frequency of 50%. Which of the following must be true?,18,"""Z""","[""The genes have to be on the same chromosome"", ""The genes have to be on separate chromosome"", ""Crossing over must occur between the genes during meiosis"", ""A dihybrid testcross yields roughly equal frequencies of parental and recombinant genotypes""]",SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,7,4,TOSSUP,MULTIPLE_CHOICE,ENERGY,Researchers at Stanford’s Barnes Lab are engineering broadly neutralizing antibodies against HIV. Which of the following refers to the specific part of an antigen that an antibody binds to?,Researchers at Stanford’s Barnes Lab are engineering broadly neutralizing antibodies against HIV. Which of the following refers to the specific part of an antigen that an antibody binds to?,29,"""X""","[""Paratope \\textbf{[PAIR-uh-tope]}"", ""Epitope \\textbf{[EP-uh-tope]}"", ""Variable region"", ""Allotype""]",SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,8,4,BONUS,MULTIPLE_CHOICE,ENERGY,Scientists at Stanford Irwin’s Lab are using a so-called dark matter radio intended to resonate at frequencies produced by magnetic field oscillations created by dark matter. Which of the following circuit types is this dark matter radio most analogous to?,Scientists at Stanford Irwin’s Lab are using a so-called dark matter radio intended to resonate at frequencies produced by magnetic field oscillations created by dark matter. Which of the following circuit types is this dark matter radio most analogous to?,40,"""Y""","[""RC"", ""RL"", ""LC"", ""RLC""]",SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,9,5,TOSSUP,SHORT_ANSWER,MATH,"If 3x − 4y = 5, what is the value of $\frac{2^{3x}}{2^{4y}}$ \textbf{[2 to the power of 3x over 2 to the power of 4y]}?","If 3x − 4y = 5, what is the value of ?",12,"""32""",[],SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,10,5,BONUS,SHORT_ANSWER,MATH,What is the greatest integer less than 100 that leaves a remainder of 2 when divided by 3 and a remainder of 7 when divided by 8?,What is the greatest integer less than 100 that leaves a remainder of 2 when divided by 3 and a remainder of 7 when divided by 8?,27,"""95""",[],SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,11,6,TOSSUP,MULTIPLE_CHOICE,EARTH_SPACE,Which of the following oceanic basins contains the oldest oceanic crust?,Which of the following oceanic basins contains the oldest oceanic crust?,11,"""X""","[""Pacific Ocean"", ""Mediterranean Sea"", ""Red Sea"", ""Atlantic Ocean""]",SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,12,6,BONUS,SHORT_ANSWER,EARTH_SPACE,"Scientists are studying star 187J3X, which has ten times the radius and half the temperature of our sun. In solar luminosities, what is the luminosity of star 187J3X?","Scientists are studying star 187J3X, which has ten times the radius and half the temperature of our sun. In solar luminosities, what is the luminosity of star 187J3X?",28,"""6.25 (accept 25/4)""",[],SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,13,7,TOSSUP,SHORT_ANSWER,PHYSICS,"The process by which a photon can hit an excited electron causing it to drop to a lower energy state is known as what type of emission, critical to the operation of lasers?","The process by which a photon can hit an excited electron causing it to drop to a lower energy state is known as what type of emission, critical to the operation of lasers?",33,"""Stimulated""",[],SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,14,7,BONUS,SHORT_ANSWER,PHYSICS,Identify all of the following properties that are true of bosons: 1) They have half-integer spins; 2) Multiple bosons may occupy the same quantum state; 3) They can act as force carriers.,Identify all of the following properties that are true of bosons: 1) They have half-integer spins; 2) Multiple bosons may occupy the same quantum state; 3) They can act as force carriers.,32,"""2 and 3""",[],SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,15,8,TOSSUP,MULTIPLE_CHOICE,ENERGY,Scientists in UCLA’s Biomaterials Lab are studying the role abscisic acid plays in the regulation of plant stress responses. Which of the following effects is primarily associated with abscisic acid in plants?,Scientists in UCLA’s Biomaterials Lab are studying the role abscisic acid plays in the regulation of plant stress responses. Which of the following effects is primarily associated with abscisic acid in plants?,32,"""X""","[""Promotion of cell elongation during primary growth"", ""Stimulation of seed dormancy"", ""Acceleration of fruit ripening"", ""Induction of lateral bud growth""]",SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,16,8,BONUS,SHORT_ANSWER,ENERGY,Scientists at UCLA are studying how hydrocarbons like decane can be harnessed for alternative energy sources. Identify all of the following 3 statements that are true of decane: 1) It contains pi bonds; 2) Its molecular formula is C$_{10}$H$_{24}$ 3) It is more saturated than decyne.,Scientists at UCLA are studying how hydrocarbons like decane can be harnessed for alternative energy sources. Identify all of the following 3 statements that are true of decane: 1) It contains pi bonds; 2) Its molecular formula is CH 3) It is more saturated than decyne.,46,"""3 only""",[],SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,17,9,TOSSUP,SHORT_ANSWER,CHEMISTRY,"Although the mineral aragonite \textbf{[uh-RAG-uh-nite]} is higher in potential energy than calcium carbonate’s other crystal form, calcite, aragonite does not spontaneously convert to calcite due to a high activation energy. What is the term for this type of energy state?","Although the mineral aragonite is higher in potential energy than calcium carbonate’s other crystal form, calcite, aragonite does not spontaneously convert to calcite due to a high activation energy. What is the term for this type of energy state?",39,"""Metastable""",[],SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,18,9,BONUS,SHORT_ANSWER,CHEMISTRY,"During the production of aluminum, carbon reacts with aluminum oxide to form aluminum metal and carbon oxides. Identify all of the following three statements about this reaction that are true: 1) Aluminum atoms are oxidized; 2) Carbon atoms are reduced; 3) Electrons are included in the net ionic equation.","During the production of aluminum, carbon reacts with aluminum oxide to form aluminum metal and carbon oxides. Identify all of the following three statements about this reaction that are true: 1) Aluminum atoms are oxidized; 2) Carbon atoms are reduced; 3) Electrons are included in the net ionic equation.",49,"""None""",[],SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,19,10,TOSSUP,SHORT_ANSWER,MATH,Consider the matrix with first row two comma negative six and second row three comma k. What value of k will make this matrix not invertible?,Consider the matrix with first row two comma negative six and second row three comma k. What value of k will make this matrix not invertible?,26,"""\u22129""",[],SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,20,10,BONUS,SHORT_ANSWER,MATH,What is the value of the cube root of the fraction with numerator $33^3 + 44^3 + 55^3$ and denominator $11^3$?,What is the value of the cube root of the fraction with numerator and denominator ?,16,"""6""",[],SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,21,11,TOSSUP,SHORT_ANSWER,BIOLOGY,What network of intermediate filaments reinforces the shape of the inner nuclear membrane?,What network of intermediate filaments reinforces the shape of the inner nuclear membrane?,13,"""Nuclear lamina""",[],SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,22,11,BONUS,MULTIPLE_CHOICE,BIOLOGY,Which of the following molecules is not derived from cholesterol?,Which of the following molecules is not derived from cholesterol?,10,"""X""","[""Vitamin D"", ""Prostaglandin \\textbf{[proh-stuh-GLAN-din]} A2"", ""Aldosterone \\textbf{[al-DOH-stur-ohn]}"", ""Cortisol""]",SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,23,12,TOSSUP,MULTIPLE_CHOICE,EARTH_SPACE,Which of the following statements is NOT true regarding cinder cone volcanoes?,Which of the following statements is NOT true regarding cinder cone volcanoes?,12,"""Z""","[""They are usually monogenetic"", ""They often appear as parasitic cones on the flanks of other volcanoes"", ""They have steep slopes composed of loose pyroclastic fragments"", ""Their eruptions generally have low volatile content""]",SSB_2026
081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,24,12,BONUS,SHORT_ANSWER,EARTH_SPACE,Order the following terrestrial solar system bodies in order of increasing mass: 1) The Moon; 2) Pluto; 3) Mercury.,Order the following terrestrial solar system bodies in order of increasing mass: 1) The Moon; 2) Pluto; 3) Mercury.,19,"""2, 1, 3""",[],SSB_2026
