packet_checksum,packet_name,packet_year,question_id,pair_id,question_type,question_style,category,question_text,question_text_stripped,word_count,correct_answer,options_json,source
fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,DOUBLE ELIM 1,2026,1,1,TOSSUP,SHORT_ANSWER,BIOLOGY,"In rod cells, rhodopsin \textbf{[roh-DOP-sin]} is activated when what molecule, derived from vitamin A, undergoes a light-induced cis–trans isomerization?","In rod cells, rhodopsin is activated when what molecule, derived from vitamin A, undergoes a light-induced cis–trans isomerization?",18,"""Retinal \\textbf{[REH-tin-al]} (DO NOT ACCEPT: Retinol \\textbf{[REH-tin-ol]})""",[],SSB_2026
fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,DOUBLE ELIM 1,2026,2,1,BONUS,MULTIPLE_CHOICE,BIOLOGY,Gene A and Gene B  have a recombination frequency of 50%. Which of the following must be true?,Gene A and Gene B have a recombination frequency of 50%. Which of the following must be true?,18,"""Z""","[""The genes have to be on the same chromosome"", ""The genes have to be on separate chromosome"", ""Crossing over must occur between the genes during meiosis"", ""A dihybrid testcross yields roughly equal frequencies of parental and recombinant genotypes""]",SSB_2026
fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,DOUBLE ELIM 1,2026,3,2,TOSSUP,SHORT_ANSWER,PHYSICS,"Simple permanent magnets cannot be used to lift maglev trains. Instead, either the strength of the magnets must be constantly altered or the train must be in motion in order to induce repulsive currents. This is an application of which physical law?","Simple permanent magnets cannot be used to lift maglev trains. Instead, either the strength of the magnets must be constantly altered or the train must be in motion in order to induce repulsive currents. This is an application of which physical law?",42,"""Faraday's law of induction (Accept: Faraday)""",[],SSB_2026
fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,DOUBLE ELIM 1,2026,4,2,BONUS,MULTIPLE_CHOICE,PHYSICS,Which of the following best describes what happens to an object that continuously accelerates while traveling at a relativistic speed?,Which of the following best describes what happens to an object that continuously accelerates while traveling at a relativistic speed?,20,"""Y""","[""Both its velocity and kinetic energy continue to increase"", ""Its velocity continues to increase while its kinetic energy plateaus"", ""Its kinetic energy continues to increase while its velocity plateaus"", ""Both its velocity and kinetic energy plateau""]",SSB_2026
fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,DOUBLE ELIM 1,2026,5,3,TOSSUP,SHORT_ANSWER,EARTH_SPACE,"Scientists are studying star 187J3X, which has ten times the radius and half the temperature of our sun. In solar luminosities, what is the luminosity of star 187J3X?","Scientists are studying star 187J3X, which has ten times the radius and half the temperature of our sun. In solar luminosities, what is the luminosity of star 187J3X?",28,"""6.25 (accept 25/4)""",[],SSB_2026
fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,DOUBLE ELIM 1,2026,6,3,BONUS,MULTIPLE_CHOICE,EARTH_SPACE,Low nutrient levels and clear water indicate the presence of which of the following types of lakes?,Low nutrient levels and clear water indicate the presence of which of the following types of lakes?,17,"""Z""","[""Endorheic \\textbf{[en-duh-REE-ik]}"", ""Exorheic \\textbf{[EX-uh-ree-ik]}"", ""Eutrophic \\textbf{[yoo-TROH-fik]}"", ""Oligotrophic \\textbf{[uh-lig-oh-TROH-fik]}""]",SSB_2026
fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,DOUBLE ELIM 1,2026,7,4,TOSSUP,MULTIPLE_CHOICE,CHEMISTRY,Materials that exhibit different physical properties on different crystal planes are described as having what property?,Materials that exhibit different physical properties on different crystal planes are described as having what property?,16,"""Z""","[""Piezoelectricity \\textbf{[pee-AY-zoh-electricity]}"", ""Polymorphosity \\textbf{[paw-lee-mor-FAW-sih-tee]}"", ""Heterogeneity \\textbf{[het-ur-oh-juh-NAY-uh-tee]}"", ""Anisotropy \\textbf{[an-EYE-soh-troh-pee]}""]",SSB_2026
fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,DOUBLE ELIM 1,2026,8,4,BONUS,MULTIPLE_CHOICE,CHEMISTRY,"Although the carbon-carbon bond in ethane rotates freely at room temperature, the bond in ethylene \textbf{[ETH-ul-een]} does not. Which of the following best explains this phenomenon?","Although the carbon-carbon bond in ethane rotates freely at room temperature, the bond in ethylene does not. Which of the following best explains this phenomenon?",25,"""Z""","[""Hydrogen atoms on adjacent carbon atoms repel each other"", ""The two regions of the carbon-carbon pi bond repel each other"", ""Rotation of the carbon-carbon sigma bond forms an energy barrier"", ""Rotation of the carbon-carbon pi bond forms an energy barrier""]",SSB_2026
fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,DOUBLE ELIM 1,2026,9,5,TOSSUP,SHORT_ANSWER,MATH,"If 3x − 4y = 5, what is the value of $\frac{2^{3x}}{2^{4y}}$ \textbf{[2 to the power of 3x over 2 to the power of 4y]}?","If 3x − 4y = 5, what is the value of ?",12,"""32""",[],SSB_2026
fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,DOUBLE ELIM 1,2026,10,5,BONUS,SHORT_ANSWER,MATH,What is the greatest integer less than 100 that leaves a remainder of 2 when divided by 3 and a remainder of 6 when divided by 7?,What is the greatest integer less than 100 that leaves a remainder of 2 when divided by 3 and a remainder of 6 when divided by 7?,27,"""83""",[],SSB_2026
