packet_checksum,packet_name,packet_year,question_id,pair_id,question_type,question_style,category,question_text,question_text_stripped,word_count,correct_answer,options_json,source
9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,DOUBLE ELIMINATION 1,2026,1,1,TOSSUP,SHORT_ANSWER,BIOLOGY,"Casey is doing some field work, and is currently investigating a corn plantation. Corn seeds have what type of modified cotyledon that transports nutrients to the embryo during germination?","Casey is doing some field work, and is currently investigating a corn plantation. Corn seeds have what type of modified cotyledon that transports nutrients to the embryo during germination?",29,"""Scutellum""",[],DASONI_2
9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,DOUBLE ELIMINATION 1,2026,2,1,BONUS,SHORT_ANSWER,BIOLOGY,Which specialized cells found at the micropylar end of the embryo sac help guide the pollen tube and facilitate the release of sperm cells into the egg?,Which specialized cells found at the micropylar end of the embryo sac help guide the pollen tube and facilitate the release of sperm cells into the egg?,27,"""Synergids""",[],DASONI_2
9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,DOUBLE ELIMINATION 1,2026,3,2,TOSSUP,SHORT_ANSWER,PHYSICS,Neutrinos are hypothesized to be what type of fermion which is its own antiparticle?,Neutrinos are hypothesized to be what type of fermion which is its own antiparticle?,14,"""Majorana fermion""",[],DASONI_2
9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,DOUBLE ELIMINATION 1,2026,4,2,BONUS,SHORT_ANSWER,PHYSICS,"Filip has a circuit with two 6 ohm resistors connected in parallel, both of which are connected in series to a 5 ohm resistor. If a battery with an EMF of 12 Volts connected to this circuit, what is the voltage in Volts across one of the 6 Ohm resistors?","Filip has a circuit with two 6 ohm resistors connected in parallel, both of which are connected in series to a 5 ohm resistor. If a battery with an EMF of 12 Volts connected to this circuit, what is the voltage in Volts across one of the 6 Ohm resistors?",50,"""4.5 Volts""",[],DASONI_2
9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,DOUBLE ELIMINATION 1,2026,5,3,TOSSUP,RANK,CHEMISTRY,Order the following 3 elements by increasing first ionization energy: 1) Nitrogen 2) Oxygen 3) Fluorine,Order the following 3 elements by increasing first ionization energy: 1) Nitrogen 2) Oxygen 3) Fluorine,16,"""2 1 3""",[],DASONI_2
9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,DOUBLE ELIMINATION 1,2026,6,3,BONUS,MULTIPLE_CHOICE,CHEMISTRY,"Given that the reaction N2 + 3H2 goes to 2NH3 is exothermic, which of the following conditions will push the reaction farthest to the right?","Given that the reaction N2 + 3H2 goes to 2NH3 is exothermic, which of the following conditions will push the reaction farthest to the right?",25,"""X""","[""high temperature, high pressure"", ""low temperature, high pressure"", ""high temperature, low pressure"", ""low temperature, low pressure""]",DASONI_2
9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,DOUBLE ELIMINATION 1,2026,7,4,TOSSUP,MULTIPLE_CHOICE,EARTH_SPACE,Which of the following types of topography would likely form through glacial processes?,Which of the following types of topography would likely form through glacial processes?,13,"""X""","[""Karst"", ""Knob and Kettle"", ""Basin and range"", ""Floodplain""]",DASONI_2
9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,DOUBLE ELIMINATION 1,2026,8,4,BONUS,IDENTIFY_ALL,EARTH_SPACE,"By name or number, identify all of the following four effects that are typical of a standard La Nina: 1. Stronger Walker Circulation, 2. Low pressure in the Eastern Pacific Ocean, 3. Colder Sea Surface temperatures in the Eastern Pacific, 4. Weaker coastal winds along Peru.","By name or number, identify all of the following four effects that are typical of a standard La Nina: 1. Stronger Walker Circulation, 2. Low pressure in the Eastern Pacific Ocean, 3. Colder Sea Surface temperatures in the Eastern Pacific, 4. Weaker coastal winds along Peru.",46,"""1, 3""",[],DASONI_2
9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,DOUBLE ELIMINATION 1,2026,9,5,TOSSUP,MULTIPLE_CHOICE,MATH,Which of the following functions is injective?,Which of the following functions is injective?,7,"""Y""","[""sine of x"", ""x squared"", ""natural log of x"", ""cotangent of x""]",DASONI_2
9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,DOUBLE ELIMINATION 1,2026,10,5,BONUS,SHORT_ANSWER,MATH,What is the sum of the digits of the number $(10^{2025}+1)(10^{2025}-1)$?,What is the sum of the digits of the number ?,11,"""36450""",[],DASONI_2
